GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tests/openjpa-lib,org.apache.openjpa.lib.instrumentation,InstrumentationLevel,44,0,0,0,5,0,1,0,1,0
tests/openjpa-lib,org.apache.openjpa.lib.instrumentation,AbstractInstrument,41,0,0,0,18,0,11,0,11,0
tests/openjpa-lib,org.apache.openjpa.lib.instrumentation,AbstractInstrumentationProvider,229,0,22,0,67,0,33,0,22,0
tests/openjpa-lib,org.apache.openjpa.lib.ant,AbstractTask,310,0,28,0,79,0,29,0,15,0
tests/openjpa-lib,org.apache.openjpa.lib.util.git,GitUtils,33,0,6,0,9,0,6,0,3,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,BooleanValue,49,0,4,0,18,0,9,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,ProductDerivations,952,0,108,0,222,0,75,0,21,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,ClassListValue,101,0,6,0,25,0,13,0,10,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,PluginValue,267,0,40,0,69,0,37,0,17,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,BootstrapException,36,0,0,0,12,0,6,0,6,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,DoubleValue,53,0,6,0,19,0,10,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,IntValue,52,0,6,0,19,0,10,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,Value,800,0,144,0,178,0,120,0,48,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,AbstractProductDerivation,29,0,0,0,15,0,15,0,15,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,ObjectValue,122,0,12,0,39,0,21,0,15,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,MapConfigurationProvider,86,0,16,0,25,0,16,0,8,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,Configurations,1421,0,240,0,339,0,154,0,34,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,StringListValue,201,0,28,0,50,0,24,0,10,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,ProductDerivations.ProductDerivationComparator,21,0,2,0,6,0,2,0,1,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,FileValue,47,0,4,0,16,0,9,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,PluginListValue,361,0,44,0,91,0,36,0,13,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,StringValue,48,0,6,0,17,0,10,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.conf,ConfigurationImpl,2100,0,266,0,489,0,202,0,69,0
tests/openjpa-lib,org.apache.openjpa.lib.log,NoneLogFactory.NoneLog,30,0,0,0,18,0,18,0,18,0
tests/openjpa-lib,org.apache.openjpa.lib.log,Log4JLogFactory.LogAdapter,89,0,0,0,29,0,17,0,17,0
tests/openjpa-lib,org.apache.openjpa.lib.log,Log4J2LogFactory.LogAdapter,84,0,0,0,29,0,17,0,17,0
tests/openjpa-lib,org.apache.openjpa.lib.log,CommonsLogFactory,15,0,0,0,4,0,2,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.log,LogFactoryImpl,352,0,40,0,92,0,41,0,19,0
tests/openjpa-lib,org.apache.openjpa.lib.log,LogFactoryAdapter,28,0,2,0,7,0,3,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.log,JULLogFactory.JULLog,96,0,0,0,28,0,16,0,16,0
tests/openjpa-lib,org.apache.openjpa.lib.log,CommonsLogFactory.LogAdapter,84,0,0,0,29,0,17,0,17,0
tests/openjpa-lib,org.apache.openjpa.lib.log,MultiLogFactory,103,0,6,0,21,0,10,0,7,0
tests/openjpa-lib,org.apache.openjpa.lib.log,JULLogFactory,54,0,10,0,19,0,10,0,5,0
tests/openjpa-lib,org.apache.openjpa.lib.log,NoneLogFactory,5,0,0,0,2,0,2,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.log,Log4J2LogFactory,10,0,0,0,2,0,2,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.log,LogFactoryImpl.LogImpl,139,0,10,0,34,0,14,0,9,0
tests/openjpa-lib,org.apache.openjpa.lib.log,SLF4JLogFactory.LogAdapter,131,0,2,0,37,0,22,0,21,0
tests/openjpa-lib,org.apache.openjpa.lib.log,AbstractLog,155,0,16,0,42,0,27,0,19,0
tests/openjpa-lib,org.apache.openjpa.lib.log,Log4JLogFactory,10,0,0,0,2,0,2,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.log,LogOutputStream,78,0,12,0,29,0,12,0,4,0
tests/openjpa-lib,org.apache.openjpa.lib.log,MultiLogFactory.MultiLog,344,0,40,0,54,0,37,0,17,0
tests/openjpa-lib,org.apache.openjpa.lib.log,SLF4JLogFactory,10,0,0,0,2,0,2,0,2,0
tests/openjpa-lib,org.apache.openjpa.lib.identifier,IdentifierRule,222,0,28,0,73,0,42,0,28,0
tests/openjpa-lib,org.apache.openjpa.lib.identifier,IdentifierImpl,86,0,16,0,26,0,18,0,10,0
tests/openjpa-lib,org.apache.openjpa.lib.identifier,IdentifierUtilImpl,1205,0,152,0,239,0,144,0,68,0
tests/openjpa-lib,org.apache.openjpa.lib.util.collections,TreeBidiMap.InverseViewMapEntryIterator,26,0,0,0,6,0,4,0,4,0
tests/openjpa-lib,org.apache.openjpa.lib.util.collections,AbstractOrderedMapDecorator,33,0,0,0,10,0,8,0,8,0
tests/openjpa-lib,org.apache.openjpa.lib.util.collections,AbstractHashedMap.EntrySetIterator,7,0,0,0,3,0,2,0,2,0
